gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,associate's degree,standard,completed,68,82,86
male,group E,some college,standard,completed,69,65,65
male,group B,bachelor's degree,free/reduced,completed,43,54,47
female,group D,some college,standard,completed,83,88,93
female,group D,master's degree,standard,none,89,91,91
male,group C,high school,free/reduced,none,55,61,53
male,group E,high school,standard,none,93,77,70
female,group B,high school,standard,none,72,77,85
female,group C,master's degree,standard,none,47,56,53
male,group C,associate's degree,standard,none,65,52,56
female,group E,bachelor's degree,standard,none,53,63,64
female,group C,high school,free/reduced,none,45,57,58
female,group C,some college,standard,none,86,100,97
female,group D,master's degree,free/reduced,completed,65,89,89
male,group E,master's degree,standard,none,100,100,97
male,group C,high school,standard,none,62,61,52
male,group D,some college,free/reduced,completed,69,71,73
male,group D,associate's degree,standard,none,98,73,80
female,group C,bachelor's degree,free/reduced,completed,45,60,60
male,group E,bachelor's degree,standard,none,99,84,83
male,group C,some college,free/reduced,none,39,41,45
male,group C,high school,free/reduced,none,56,59,53
male,group C,some college,standard,none,71,77,66
female,group B,some college,free/reduced,none,36,54,49
male,group C,some college,standard,completed,71,72,67
female,group B,some high school,free/reduced,none,40,52,54
male,group D,master's degree,standard,completed,78,76,78
female,group B,high school,standard,none,63,72,70
male,group C,high school,free/reduced,none,54,51,41
female,group A,high school,standard,completed,62,71,72
female,group C,some college,standard,none,57,61,62
male,group B,associate's degree,standard,none,85,90,83
male,group E,associate's degree,standard,completed,95,90,91
female,group B,high school,standard,completed,70,75,78
male,group C,some college,free/reduced,none,34,33,28
male,group C,associate's degree,standard,completed,63,68,70
female,group D,some college,standard,completed,71,90,95
male,group C,master's degree,standard,none,79,71,76
female,group C,some high school,free/reduced,completed,57,77,67
male,group C,some college,free/reduced,none,31,29,24
female,group C,bachelor's degree,standard,none,61,65,69
female,group C,associate's degree,free/reduced,completed,64,80,81
female,group C,some high school,standard,none,47,61,60
male,group B,some high school,free/reduced,none,73,74,68
female,group C,some high school,standard,none,65,70,70
male,group E,some college,free/reduced,none,57,58,49
male,group E,associate's degree,free/reduced,completed,76,73,73
male,group D,some high school,standard,none,69,62,62
female,group D,some college,standard,completed,71,88,89
male,group C,some college,free/reduced,none,71,61,63
male,group B,bachelor's degree,free/reduced,none,51,43,47
female,group B,some high school,free/reduced,none,55,64,61
female,group C,high school,free/reduced,none,37,53,48
female,group B,bachelor's degree,standard,none,60,77,74
female,group C,bachelor's degree,free/reduced,completed,73,82,78
female,group C,high school,free/reduced,none,43,54,59
male,group C,high school,standard,none,62,61,55
male,group C,high school,standard,none,79,67,66
female,group B,associate's degree,standard,none,57,59,59
male,group E,some high school,standard,none,89,88,86
female,group C,some high school,free/reduced,completed,39,58,63
female,group C,high school,standard,completed,70,75,82
female,group B,some high school,standard,completed,56,65,70
male,group B,some high school,standard,none,85,76,68
male,group D,some college,free/reduced,none,75,86,85
female,group D,master's degree,standard,none,90,97,91
male,group D,master's degree,free/reduced,completed,73,68,79
male,group D,high school,standard,none,67,60,59
female,group D,some high school,free/reduced,none,43,53,49
male,group D,bachelor's degree,free/reduced,none,43,53,46
female,group D,associate's degree,standard,completed,81,93,93
female,group A,associate's degree,standard,none,84,91,90
male,group B,some high school,standard,completed,45,33,34
female,group C,high school,standard,none,62,73,69
male,group E,high school,standard,none,63,47,47
female,group D,associate's degree,free/reduced,none,53,70,64
male,group D,some high school,standard,none,78,69,61
female,group B,high school,standard,completed,60,70,66
female,group E,some college,standard,completed,70,70,65
female,group C,some high school,free/reduced,none,36,56,52
male,group D,some high school,standard,none,75,64,61
male,group C,associate's degree,standard,none,66,57,51
female,group C,high school,standard,completed,85,95,91
male,group C,associate's degree,standard,completed,82,89,86
male,group B,master's degree,free/reduced,none,76,82,80
male,group C,associate's degree,standard,completed,56,54,56
female,group B,some high school,free/reduced,none,49,63,58
female,group B,some college,standard,none,79,84,85
male,group C,some high school,standard,none,58,53,50
female,group A,high school,standard,completed,87,97,99
female,group B,associate's degree,free/reduced,none,57,75,66
male,group E,high school,free/reduced,none,59,71,68
male,group D,some high school,standard,none,71,71,61
female,group D,associate's degree,free/reduced,none,41,49,48
female,group B,some college,standard,completed,77,87,93
female,group B,some college,standard,none,68,76,76
male,group E,some college,free/reduced,completed,90,71,70
male,group D,some college,standard,none,78,74,72
female,group A,some college,free/reduced,none,72,85,81
female,group C,high school,standard,none,58,71,63
female,group B,some high school,standard,none,70,80,77
male,group C,master's degree,standard,none,51,59,48
male,group C,associate's degree,standard,none,68,63,63
male,group C,bachelor's degree,standard,completed,88,86,89
male,group C,associate's degree,free/reduced,none,45,53,42
female,group B,some high school,free/reduced,completed,67,72,81
female,group C,high school,standard,none,64,69,69
female,group C,some college,standard,completed,66,67,75
female,group C,bachelor's degree,free/reduced,none,64,72,71
male,group B,some college,standard,none,68,55,51
female,group D,some high school,free/reduced,none,43,55,54
male,group C,bachelor's degree,free/reduced,none,61,63,58
male,group B,some high school,standard,none,68,66,64
male,group B,bachelor's degree,standard,none,96,93,83
male,group D,high school,free/reduced,none,58,48,45
male,group B,some high school,standard,none,59,51,46
female,group A,bachelor's degree,standard,none,67,82,84
male,group C,associate's degree,standard,completed,93,98,92
male,group D,some college,free/reduced,none,71,63,63
male,group D,associate's degree,free/reduced,completed,59,47,49
female,group B,some high school,standard,none,60,74,70
male,group E,some high school,standard,completed,77,64,65
male,group C,bachelor's degree,free/reduced,none,58,56,50
male,group B,high school,free/reduced,none,36,36,33
male,group D,high school,standard,none,79,61,65
female,group E,some college,standard,completed,79,83,88
female,group E,associate's degree,free/reduced,none,83,97,93
female,group A,associate's degree,standard,none,41,46,52
female,group C,high school,standard,none,49,55,60
male,group D,high school,standard,none,52,49,53
female,group D,high school,standard,completed,68,78,78
female,group C,master's degree,free/reduced,completed,59,76,73
female,group B,some college,standard,none,61,64,62
male,group D,some high school,free/reduced,none,40,47,37
male,group C,associate's degree,free/reduced,none,72,73,68
female,group C,bachelor's degree,free/reduced,none,67,76,74
female,group C,associate's degree,free/reduced,none,49,59,60
male,group E,some college,standard,completed,88,73,74
male,group D,some high school,standard,none,80,75,68
female,group A,bachelor's degree,free/reduced,none,67,79,81
female,group D,some college,free/reduced,none,60,64,71
male,group A,associate's degree,standard,completed,80,76,77
female,group C,associate's degree,standard,completed,74,79,76
male,group B,some college,standard,none,75,72,67
female,group C,high school,standard,none,62,73,72
male,group C,associate's degree,standard,none,86,81,86
female,group C,some college,standard,none,63,66,68
male,group B,high school,standard,none,49,41,35
female,group B,high school,free/reduced,none,41,59,57
male,group C,some college,free/reduced,none,60,54,56
male,group D,master's degree,standard,completed,96,86,92
female,group C,some high school,free/reduced,completed,78,89,81
female,group C,associate's degree,standard,completed,95,100,100
male,group C,some college,standard,completed,41,45,40
male,group E,associate's degree,standard,none,68,71,65
female,group B,master's degree,standard,completed,76,82,89
female,group E,associate's degree,free/reduced,none,67,68,65
female,group D,associate's degree,standard,none,72,87,80
male,group B,associate's degree,standard,none,80,80,77
male,group E,high school,standard,none,100,91,82
male,group C,some college,free/reduced,completed,69,71,67
female,group D,some college,standard,none,79,80,82
male,group D,bachelor's degree,free/reduced,none,65,68,63
female,group D,master's degree,standard,none,87,85,86
male,group D,some college,free/reduced,completed,80,80,82
female,group D,associate's degree,standard,completed,63,65,68
male,group C,high school,free/reduced,none,27,32,24
male,group C,bachelor's degree,free/reduced,none,60,51,50
female,group D,associate's degree,standard,none,64,71,74
female,group B,some college,standard,none,62,71,62
female,group C,some college,standard,completed,96,99,100
male,group C,associate's degree,free/reduced,completed,67,72,75
female,group C,master's degree,free/reduced,completed,59,65,75
male,group B,bachelor's degree,free/reduced,none,65,73,66
male,group E,associate's degree,standard,none,94,82,75
female,group D,some college,standard,none,71,83,78
female,group C,high school,standard,completed,69,79,83
female,group E,high school,free/reduced,completed,82,90,86
male,group C,some high school,standard,completed,87,84,81
male,group C,some college,free/reduced,completed,52,46,41
male,group D,bachelor's degree,standard,none,85,83,79
male,group B,associate's degree,standard,none,61,49,53
female,group D,associate's degree,free/reduced,none,64,82,83
male,group C,some college,free/reduced,none,70,73,62
female,group C,some high school,free/reduced,none,51,61,61
female,group B,some college,standard,none,53,59,62
male,group B,associate's degree,free/reduced,none,51,42,39
female,group D,some college,standard,completed,75,78,81
male,group D,master's degree,standard,none,50,43,44
female,group C,high school,standard,none,54,74,71
male,group D,bachelor's degree,standard,none,84,77,73
male,group D,high school,free/reduced,completed,41,49,47
female,group D,some high school,standard,none,72,80,83
male,group C,some high school,standard,none,77,65,65
female,group C,high school,standard,none,73,80,80
female,group B,associate's degree,standard,none,65,71,71
female,group C,some college,standard,none,59,75,72
male,group E,high school,standard,completed,67,65,61
male,group D,some college,standard,completed,93,89,97
female,group B,associate's degree,free/reduced,none,46,56,52
male,group E,some college,standard,none,80,73,72
female,group D,some high school,standard,none,86,93,89
male,group C,bachelor's degree,free/reduced,completed,65,69,71
male,group B,some college,free/reduced,none,66,57,57
female,group C,bachelor's degree,standard,none,59,71,69
male,group C,some college,free/reduced,none,53,59,52
female,group E,some college,standard,none,91,89,88
male,group D,some high school,free/reduced,none,66,56,53
male,group E,master's degree,standard,none,73,59,58
female,group B,some high school,free/reduced,none,64,72,68
female,group E,bachelor's degree,standard,none,46,48,50
male,group A,high school,standard,none,65,70,60
female,group D,some high school,standard,none,56,62,58
male,group A,some college,free/reduced,none,69,69,66
female,group A,some college,standard,none,66,75,73
male,group E,some college,standard,none,77,68,70
male,group B,high school,standard,none,67,57,63
male,group C,associate's degree,standard,none,61,55,48
male,group E,bachelor's degree,standard,none,86,72,70
female,group B,some high school,standard,none,30,35,36
male,group C,associate's degree,standard,none,82,76,72
female,group D,some college,standard,none,91,86,94
female,group D,bachelor's degree,standard,none,56,57,52
male,group C,some high school,standard,none,70,63,63
female,group B,associate's degree,standard,none,78,89,87
male,group D,some college,free/reduced,none,46,48,47
male,group C,bachelor's degree,free/reduced,none,60,61,57
male,group B,some high school,free/reduced,none,60,63,54
female,group B,some college,standard,completed,66,77,80
female,group D,high school,free/reduced,none,39,44,53
male,group C,some college,standard,completed,84,83,77
male,group D,associate's degree,standard,none,66,58,62
male,group B,bachelor's degree,standard,none,70,66,60
male,group B,high school,free/reduced,completed,64,72,68
female,group D,associate's degree,free/reduced,none,49,63,64
male,group D,bachelor's degree,standard,completed,63,63,66
female,group D,some college,standard,none,85,100,100
female,group B,some high school,free/reduced,completed,39,55,54
male,group C,high school,free/reduced,none,42,48,49
female,group B,master's degree,standard,completed,82,85,85
male,group C,high school,standard,completed,71,78,72
male,group E,some college,free/reduced,completed,72,68,66
male,group C,some college,free/reduced,completed,38,47,43
male,group D,high school,standard,completed,77,77,78
female,group C,high school,standard,completed,66,83,79
male,group E,some college,standard,completed,78,60,66
male,group C,some college,standard,completed,79,57,67
male,group C,associate's degree,standard,none,60,60,58
female,group E,high school,standard,completed,77,87,87
female,group D,high school,standard,completed,59,69,71
female,group A,some high school,free/reduced,none,44,52,52
female,group B,associate's degree,standard,completed,47,57,63
female,group C,some college,standard,completed,74,78,85
female,group A,bachelor's degree,free/reduced,none,57,70,64
female,group C,some college,free/reduced,completed,47,65,66
male,group B,some high school,standard,completed,95,82,83
male,group E,associate's degree,free/reduced,completed,86,87,85
female,group C,some college,standard,none,83,91,93
female,group E,associate's degree,standard,completed,82,90,95
male,group C,some high school,standard,completed,54,43,48
female,group E,associate's degree,standard,completed,74,70,71
male,group D,some college,standard,completed,60,69,69
male,group B,some college,standard,completed,86,85,84
female,group E,associate's degree,free/reduced,none,51,55,61
male,group B,some college,standard,none,63,55,52
female,group C,associate's degree,standard,none,71,73,82
female,group C,some high school,standard,completed,78,95,92
male,group C,some high school,standard,none,52,43,42
female,group D,high school,standard,completed,60,74,78
female,group E,bachelor's degree,standard,none,63,67,66
female,group E,associate's degree,free/reduced,completed,76,85,87
female,group C,some high school,free/reduced,none,37,53,46
female,group C,master's degree,standard,none,75,77,79
male,group C,associate's degree,free/reduced,none,64,65,66
female,group D,associate's degree,standard,none,59,63,66
female,group D,some college,free/reduced,none,46,56,56
female,group C,associate's degree,standard,completed,55,69,73
male,group C,associate's degree,standard,none,83,69,63
female,group C,master's degree,standard,completed,67,79,75
male,group D,associate's degree,standard,completed,70,69,65
male,group D,bachelor's degree,standard,none,53,53,54
male,group A,high school,standard,none,73,62,65
male,group C,some college,standard,completed,79,89,89
male,group D,master's degree,standard,none,100,94,92
male,group B,bachelor's degree,free/reduced,none,56,55,49
female,group C,some college,standard,completed,95,97,98
female,group A,high school,standard,none,66,71,73
male,group B,some high school,free/reduced,none,49,52,48
male,group C,associate's degree,standard,completed,61,50,50
female,group D,some high school,standard,none,63,55,62
male,group C,bachelor's degree,standard,completed,83,83,89
female,group D,some college,standard,none,72,73,73
female,group A,high school,standard,none,67,85,77
male,group D,associate's degree,standard,none,63,60,54
male,group C,high school,standard,none,61,60,55
female,group C,some high school,standard,completed,55,60,64
female,group D,some college,free/reduced,none,37,45,53
male,group C,associate's degree,free/reduced,completed,81,78,74
female,group D,some high school,standard,completed,67,80,77
female,group B,high school,standard,completed,67,72,75
male,group C,associate's degree,standard,none,76,66,58
male,group B,high school,standard,none,67,66,67
male,group A,some college,free/reduced,none,42,59,52
male,group D,high school,standard,none,83,77,71
female,group D,bachelor's degree,free/reduced,completed,79,89,92
male,group E,some high school,free/reduced,none,76,69,71
female,group C,associate's degree,standard,completed,65,75,82
female,group B,high school,standard,none,66,76,79
female,group D,some high school,free/reduced,completed,55,64,59
male,group C,associate's degree,standard,none,49,49,45
male,group E,bachelor's degree,standard,none,89,81,81
male,group C,associate's degree,standard,none,77,91,80
female,group C,master's degree,free/reduced,none,66,71,75
female,group B,associate's degree,free/reduced,completed,29,43,46
female,group D,associate's degree,free/reduced,completed,49,71,70
female,group D,bachelor's degree,free/reduced,none,63,78,77
male,group B,some college,free/reduced,completed,63,67,67
male,group B,some college,free/reduced,completed,74,80,74
female,group C,some college,free/reduced,completed,46,65,63
male,group C,associate's degree,standard,completed,78,81,81
male,group D,associate's degree,free/reduced,none,81,81,77
female,group E,some college,free/reduced,completed,95,97,94
female,group E,some college,standard,completed,83,80,86
female,group B,bachelor's degree,free/reduced,completed,62,80,75
female,group D,some college,free/reduced,none,52,60,57
male,group C,associate's degree,standard,none,81,65,68
male,group E,bachelor's degree,standard,completed,100,100,100
male,group E,some college,standard,completed,72,59,62
female,group A,master's degree,standard,completed,75,88,94
male,group D,bachelor's degree,free/reduced,none,67,66,63
male,group C,some college,standard,none,64,61,54
male,group B,some college,standard,none,68,59,60
male,group B,high school,free/reduced,none,26,32,17
male,group A,high school,free/reduced,none,51,51,47
female,group C,some high school,standard,none,83,85,86
male,group B,high school,standard,none,75,65,58
female,group A,associate's degree,standard,none,47,64,60
female,group B,associate's degree,free/reduced,none,45,63,65
male,group B,associate's degree,standard,completed,57,62,58
female,group A,associate's degree,free/reduced,none,50,57,59
female,group D,some college,standard,none,51,73,74
female,group A,some high school,standard,none,56,67,61
female,group C,some college,free/reduced,none,55,68,68
female,group C,bachelor's degree,standard,none,40,52,41
female,group C,bachelor's degree,free/reduced,none,34,45,45
male,group B,high school,standard,none,68,56,53
male,group C,master's degree,free/reduced,none,69,66,73
male,group C,some college,free/reduced,completed,55,54,64
male,group B,associate's degree,standard,none,74,64,61
female,group B,some high school,standard,none,61,76,74
female,group D,some high school,standard,completed,73,71,84
female,group A,some high school,free/reduced,none,17,38,33
female,group C,bachelor's degree,standard,none,75,75,75
female,group C,associate's degree,standard,none,84,93,94
female,group E,bachelor's degree,standard,none,64,68,71
male,group E,bachelor's degree,standard,none,100,88,85
female,group A,some college,standard,none,56,69,60
female,group B,some college,free/reduced,completed,33,47,44
female,group A,associate's degree,standard,completed,79,81,86
female,group C,associate's degree,standard,completed,80,97,93
female,group C,bachelor's degree,free/reduced,completed,61,67,67
male,group D,high school,standard,completed,89,89,88
male,group C,bachelor's degree,standard,completed,69,60,64
female,group D,high school,standard,completed,90,100,98
male,group C,bachelor's degree,standard,none,73,71,65
male,group C,some high school,standard,completed,73,68,65
female,group D,high school,standard,none,62,72,73
male,group B,some college,standard,none,63,54,51
female,group C,associate's degree,free/reduced,completed,46,59,64
male,group D,associate's degree,free/reduced,completed,60,65,58
female,group C,high school,standard,none,65,68,75
male,group C,bachelor's degree,standard,none,83,79,79
female,group E,master's degree,free/reduced,none,58,66,70
male,group C,some high school,standard,none,49,48,46
male,group C,some high school,free/reduced,completed,47,50,56
male,group D,associate's degree,standard,none,52,55,56
male,group D,associate's degree,free/reduced,none,50,54,43
female,group D,high school,standard,completed,67,75,78
female,group D,associate's degree,standard,completed,74,91,89
male,group A,some college,standard,none,44,45,48
female,group D,high school,free/reduced,none,37,58,56
male,group B,some high school,free/reduced,none,62,57,49
male,group D,some college,free/reduced,completed,78,71,68
female,group E,bachelor's degree,free/reduced,none,66,86,77
female,group E,some college,standard,none,59,52,54
female,group E,high school,standard,none,80,74,73
male,group E,high school,standard,completed,83,80,74
female,group D,associate's degree,free/reduced,completed,58,68,70
male,group C,associate's degree,standard,none,44,35,32
male,group D,some college,standard,completed,74,71,71
male,group C,some high school,standard,completed,76,76,76
female,group D,high school,free/reduced,none,64,81,75
male,group B,some college,standard,completed,69,65,63
female,group E,some college,standard,none,73,76,70
female,group B,high school,standard,none,39,44,41
male,group D,high school,standard,completed,68,72,74
female,group D,some college,standard,completed,57,76,75
female,group D,bachelor's degree,free/reduced,none,70,90,85
male,group C,some high school,standard,none,56,55,47
male,group A,some college,free/reduced,completed,65,58,56
female,group C,high school,free/reduced,none,56,69,65
male,group A,some high school,free/reduced,none,77,70,62
male,group E,associate's degree,standard,none,85,64,66
male,group D,high school,standard,none,76,61,62
male,group A,high school,free/reduced,none,52,57,48
male,group A,some college,free/reduced,completed,66,73,67
female,group D,high school,free/reduced,none,65,64,69
female,group B,some college,standard,none,87,100,91
female,group C,some college,free/reduced,none,42,54,51
female,group E,high school,standard,completed,81,81,80
female,group C,high school,standard,none,64,74,68
female,group C,associate's degree,standard,none,80,73,81
male,group D,some high school,free/reduced,completed,66,72,72
female,group B,some high school,free/reduced,completed,26,37,44
male,group C,bachelor's degree,free/reduced,none,58,52,52
female,group B,bachelor's degree,free/reduced,none,54,66,69
male,group C,high school,free/reduced,completed,40,54,53
male,group D,some college,standard,completed,68,59,64
male,group C,bachelor's degree,standard,completed,83,77,79
female,group D,bachelor's degree,standard,none,69,71,72
male,group A,bachelor's degree,free/reduced,completed,83,88,86
female,group C,associate's degree,standard,none,76,91,90
female,group B,associate's degree,standard,none,53,57,59
female,group D,associate's degree,free/reduced,none,55,61,67
female,group D,some high school,free/reduced,completed,53,68,61
female,group B,high school,standard,none,61,73,73
female,group A,some college,free/reduced,none,33,42,38
female,group A,some college,free/reduced,completed,52,62,66
female,group B,high school,standard,none,66,74,73
female,group C,some high school,standard,none,70,88,83
male,group B,associate's degree,standard,none,95,86,82
male,group C,bachelor's degree,standard,completed,72,67,70
male,group D,some college,standard,none,88,87,84
male,group C,bachelor's degree,free/reduced,none,76,76,76
male,group C,high school,standard,none,79,66,68
male,group C,associate's degree,standard,none,70,72,65
male,group D,high school,standard,none,65,57,55
male,group D,high school,standard,none,72,70,64
female,group B,some high school,standard,completed,36,46,51
male,group E,some high school,standard,none,64,62,51
male,group B,some high school,standard,none,38,33,28
female,group C,master's degree,standard,none,77,82,82
female,group B,associate's degree,standard,none,73,85,87
male,group B,some college,standard,none,81,78,65
male,group D,master's degree,free/reduced,completed,65,74,69
male,group D,associate's degree,free/reduced,none,53,57,50
male,group D,some college,standard,none,58,49,49
female,group D,some high school,standard,completed,46,66,66
male,group C,high school,standard,completed,78,83,80
male,group B,bachelor's degree,standard,completed,53,47,50
male,group A,some college,free/reduced,none,65,65,62
male,group C,master's degree,standard,completed,74,68,71
male,group A,high school,standard,completed,68,64,65
male,group C,some college,standard,none,77,77,76
female,group C,bachelor's degree,standard,none,60,68,63
male,group C,some college,free/reduced,none,53,61,51
male,group C,some college,standard,none,74,73,68
male,group D,high school,free/reduced,completed,51,54,50
female,group D,some college,standard,completed,87,95,98
female,group D,some college,standard,none,74,78,79
male,group A,some college,standard,none,66,72,67
male,group C,associate's degree,standard,none,84,76,71
male,group A,master's degree,standard,none,57,52,52
female,group A,high school,free/reduced,completed,38,39,41
female,group D,associate's degree,standard,none,66,74,78
female,group D,high school,free/reduced,none,72,80,80
male,group B,some college,standard,none,82,71,75
female,group E,some college,free/reduced,none,72,81,80
female,group A,some high school,standard,completed,41,58,57
male,group B,some college,standard,none,61,61,64
female,group B,some college,standard,completed,82,88,81
female,group D,master's degree,free/reduced,completed,81,91,92
female,group C,bachelor's degree,standard,none,86,91,88
male,group D,some college,standard,completed,91,91,84
female,group B,high school,standard,completed,77,77,82
female,group B,high school,standard,none,65,81,83
male,group B,high school,standard,completed,62,53,51
female,group C,high school,free/reduced,none,55,70,62
male,group E,associate's degree,standard,completed,100,96,92
male,group C,some high school,free/reduced,none,59,48,40
female,group B,some high school,standard,completed,74,91,88
male,group D,some college,standard,none,63,62,59
female,group C,high school,standard,none,58,67,64
female,group C,associate's degree,standard,completed,69,78,80
female,group D,bachelor's degree,free/reduced,none,74,92,88
male,group D,bachelor's degree,free/reduced,none,77,75,75
female,group C,master's degree,standard,none,50,63,64
female,group E,associate's degree,standard,none,46,59,62
female,group C,high school,standard,none,53,70,61
male,group C,high school,free/reduced,none,51,52,46
female,group C,bachelor's degree,standard,none,69,76,68
female,group B,master's degree,standard,none,79,81,84
male,group E,some high school,standard,none,63,59,50
male,group C,bachelor's degree,standard,none,90,80,78
female,group C,master's degree,standard,none,81,86,82
female,group D,high school,standard,none,65,77,72
female,group D,bachelor's degree,standard,completed,86,96,98
female,group C,associate's degree,free/reduced,completed,67,76,80
female,group B,bachelor's degree,standard,completed,60,80,85
male,group C,some high school,standard,completed,75,69,67
male,group E,associate's degree,standard,none,69,64,61
female,group D,master's degree,standard,completed,81,83,88
female,group A,bachelor's degree,free/reduced,none,56,74,70
female,group E,some high school,free/reduced,completed,56,59,64
male,group C,high school,standard,completed,86,80,82
female,group B,some college,standard,none,60,65,70
male,group D,bachelor's degree,free/reduced,completed,59,63,65
male,group E,associate's degree,standard,none,61,54,51
female,group D,associate's degree,standard,none,73,79,79
female,group D,associate's degree,standard,completed,49,69,73
female,group A,bachelor's degree,standard,none,71,76,78
female,group E,some high school,standard,completed,89,98,100
male,group C,bachelor's degree,free/reduced,none,81,78,73
female,group C,some high school,standard,completed,63,83,81
male,group D,some college,free/reduced,completed,47,48,55
male,group E,some college,free/reduced,none,65,58,57
male,group A,some high school,free/reduced,none,40,54,42
female,group D,some high school,free/reduced,none,66,69,70
female,group C,some high school,standard,completed,67,84,83
female,group C,some high school,standard,none,58,70,67
male,group B,master's degree,standard,completed,92,100,97
male,group C,high school,free/reduced,completed,41,38,37
female,group B,some college,free/reduced,none,72,80,83
female,group B,associate's degree,free/reduced,none,53,70,62
male,group D,bachelor's degree,standard,completed,77,63,66
female,group A,associate's degree,standard,none,76,74,69
female,group D,some high school,standard,none,63,72,65
female,group B,bachelor's degree,free/reduced,completed,51,75,72
female,group C,associate's degree,standard,completed,68,78,80
male,group A,master's degree,standard,completed,71,58,65
male,group B,high school,standard,none,63,54,52
female,group B,associate's degree,free/reduced,completed,66,79,82
male,group C,some college,standard,none,69,63,66
female,group B,some high school,standard,completed,71,88,91
female,group E,high school,free/reduced,none,56,70,63
male,group E,bachelor's degree,standard,none,100,78,83
male,group C,some high school,standard,none,59,55,49
female,group B,bachelor's degree,free/reduced,none,51,51,61
female,group B,some college,standard,none,69,76,74
female,group D,some high school,standard,none,59,66,70
female,group B,associate's degree,free/reduced,none,56,66,65
female,group C,some college,free/reduced,none,52,62,65
male,group C,some high school,free/reduced,none,63,60,54
